날짜,시가,고가,저가,종가,엔상1,엔상2,엔상3,엔상4,엔상5,엔하1,엔하2,엔하3,엔하4,엔하5,피4,피5,V1,V2
2024/12/10,54500,54500,53700,54000,55200,57072.8571428571,59086.4285714286,61029.6428571429,62972.8571428571,53700,53327.1428571429,51313.5714285714,49370.3571428571,47427.1428571429,53686.25,54306.25,55611.154363334,55326.2642257275
2024/12/09,53500,54600,53200,53400,55170.5882352941,57098.4453781513,59085.5882352941,61043.0882352941,63000.5882352941,54300,53242.731092437,51255.5882352941,49298.0882352941,47340.5882352941,53740,54492.3076923077,55858.3761182293,55502.547101041
2024/12/06,53900,54400,52700,54100,54964.7058823529,56945.4201680672,58910.4201680672,60883.2773109244,62856.1344537815,53700,52983.9915966387,51018.9915966387,49046.1344537815,47073.2773109244,53941.25,54746.6346153846,55977.6238580113,55627.304219654
2024/12/05,53200,54400,53200,53700,54758.8235294118,56788.1092436975,58728.8235294118,60713.8235294118,62698.8235294118,53900,52729.5378151261,50788.8235294118,48803.8235294118,46818.8235294118,54213.75,55093.75,56376.2831455027,55948.1315566294
2024/12/04,52000,53400,52000,53100,54717.6470588235,56781.218487395,58694.0756302521,60682.2899159664,62670.5042016807,54100,52654.0756302521,50741.218487395,48753.0042016807,46764.7899159664,54656.25,55471.6346153846,56618.2943989446,56156.2828624077
2024/12/03,53100,54400,53100,53600,54829.4117647059,56900.8403361345,58788.6974789916,60768.3403361345,62747.9831932773,55300,52757.9831932773,50870.1260504202,48890.4831932773,46910.8403361345,55157.5,55668.2692307692,56397.1212454377,56014.3557618674
2024/12/02,54300,54400,53100,53600,55029.4117647059,57115.1260504202,58964.4117647059,60931.9117647059,62899.4117647059,56100,52943.6974789916,51094.4117647059,49126.9117647059,47159.4117647059,55802.5,55700.9615384615,55982.4224364785,55686.9013358975
2024/11/29,55100,55300,53800,54200,55258.8235294118,57347.3949579832,59163.1092436975,61115.2521008403,63067.3949579832,57300,53170.2521008403,51354.5378151261,49402.3949579832,47450.2521008403,56338.75,55691.8269230769,55456.6119783007,55338.3953063327
2024/11/28,56000,56400,55200,55500,55441.1764705882,57515.462184874,59311.1764705882,61246.1764705882,63181.1764705882,55400,53366.8907563025,51571.1764705882,49636.1764705882,47701.1764705882,56650,55776.9230769231,55045.3633229595,55147.2807903949
2024/11/27,57700,57800,56000,56300,55564.7058823529,57611.8487394958,59401.1344537815,61319.3487394958,63237.5630252101,55900,53517.5630252101,51728.2773109244,49810.0630252101,47891.8487394958,56815,55832.6923076923,54882.3512316838,55144.3436541222
2024/11/26,57900,58900,57500,58300,55705.8823529412,57719.4537815126,59495.8823529412,61390.8823529412,63285.8823529412,54400,53692.3109243698,51915.8823529412,50020.8823529412,48125.8823529412,56540,55684.6153846154,54896.6999416194,55283.6575001099
2024/11/25,57400,57900,56700,57900,55705.8823529412,57693.025210084,59458.025210084,61334.0966386555,63210.1680672269,53400,53718.7394957983,51953.7394957983,50077.6680672269,48201.5966386555,55815,55128.8461538462,55374.5211973699,55614.5879474105
2024/11/22,56000,56700,55900,56000,55782.3529411765,57747.3529411765,59485.9243697479,61337.7100840336,63189.4957983193,53200,53817.3529411765,52078.781512605,50226.9957983193,48375.2100840336,55238.75,54649.5192307692,55939.4868093633,55969.1557487801
2024/11/21,54900,56900,54700,56400,55964.7058823529,57905.4201680672,59619.7058823529,61447.2058823529,63274.7058823529,53700,54023.9915966387,52309.7058823529,50482.2058823529,48654.7058823529,54801.25,54523.5576923077,56268.6561085326,56244.3231344062
2024/11/20,56100,56500,54800,55300,56152.9411764706,58065.7983193277,59757.9411764706,61560.4411764706,63362.9411764706,53600,54240.0840336134,52547.9411764706,50745.4411764706,48942.9411764706,54063.75,54524.5192307692,57011.047701656,56827.5724600063
2024/11/19,56500,57500,55900,56300,56317.6470588235,58205.5042016807,59874.0756302521,61652.2899159664,63430.5042016807,54400,54429.7899159664,52761.218487395,50983.0042016807,49204.7899159664,53700,54746.1538461538,57498.9387851572,57235.5875121458
2024/11/18,57000,57500,55900,56700,56294.1176470588,58143.4033613445,59792.6890756303,61541.974789916,63291.2605042017,53500,54444.8319327731,52795.5462184874,51046.2605042017,49296.974789916,53445,54932.6923076923,58416.1264529904,57868.271397847
2024/11/15,50300,54200,50300,53500,56288.2352941177,58103.9495798319,59731.0924369748,61452.5210084034,63173.9495798319,53000,54472.5210084034,52845.3781512605,51123.9495798319,49402.5210084034,53312.5,55062.5,59703.6160543158,58636.8673017034
2024/11/14,50200,51800,49900,49900,56617.6470588235,58413.3613445378,60028.3613445378,61733.718487395,63439.0756302521,53100,54821.9327731093,53206.9327731093,51501.5756302521,49796.218487395,53918.75,55553.3653846154,60632.0160592992,59279.4323988337
